2026/1/10,15:53:26,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.02820000,-104.16092110,,,
1545.02830000,-104.15976024,,,
1545.02840000,-104.16017440,,,
1545.02850000,-104.16065017,,,
1545.02860000,-104.15851035,,,
1545.02870000,-104.15972326,,,
1545.02880000,-104.16065737,,,
1545.02890000,-104.16225386,,,
1545.02900000,-104.16433332,,,
1545.02910000,-104.16377553,,,
1545.02920000,-104.16119766,,,
1545.02930000,-104.15984663,,,
1545.02940000,-104.16210000,,,
1545.02950000,-104.16414758,,,
1545.02960000,-104.16277073,,,
1545.02970000,-104.16222903,,,
1545.02980000,-104.16247585,,,
1545.02990000,-104.16274834,,,
1545.03000000,-104.16537036,,,
1545.03010000,-104.16400263,,,
1545.03020000,-104.16186281,,,
1545.03030000,-104.16311994,,,
1545.03040000,-104.16266712,,,
1545.03050000,-104.16269654,,,
1545.03060000,-104.16181489,,,
1545.03070000,-104.16334966,,,
1545.03080000,-104.16306788,,,
1545.03090000,-104.16052131,,,
1545.03100000,-104.16166916,,,
1545.03110000,-104.16108880,,,
1545.03120000,-104.15971833,,,
1545.03130000,-104.16219705,,,
1545.03140000,-104.16330270,,,
1545.03150000,-104.16440643,,,
1545.03160000,-104.16262566,,,
1545.03170000,-104.16122987,,,
1545.03180000,-104.16021642,,,
1545.03190000,-104.15931296,,,
1545.03200000,-104.15896360,,,
1545.03210000,-104.15973227,,,
1545.03220000,-104.15961279,,,
1545.03230000,-104.15922416,,,
1545.03240000,-104.15811683,,,
1545.03250000,-104.15611505,,,
1545.03260000,-104.15872609,,,
1545.03270000,-104.15638240,,,
1545.03280000,-104.15727972,,,
1545.03290000,-104.15607582,,,
1545.03300000,-104.15770139,,,
1545.03310000,-104.15797860,,,
1545.03320000,-104.15768893,,,
1545.03330000,-104.15836970,,,
1545.03340000,-104.15798543,,,
1545.03350000,-104.15751874,,,
1545.03360000,-104.15922804,,,
1545.03370000,-104.15888475,,,
1545.03380000,-104.15854872,,,
1545.03390000,-104.15742047,,,
1545.03400000,-104.15701090,,,
1545.03410000,-104.15680504,,,
1545.03420000,-104.15638913,,,
