Voltage,Wavelength,InsertionLoss
1.000,1545.0524,-99.6558
1.000,1545.0525,-99.6578
1.000,1545.0526,-99.6620
1.000,1545.0527,-99.6608
1.000,1545.0528,-99.6575
1.000,1545.0529,-99.6548
1.000,1545.0530,-99.6550
1.000,1545.0531,-99.6569
1.000,1545.0532,-99.6566
1.000,1545.0533,-99.6554
1.000,1545.0534,-99.6541
1.000,1545.0535,-99.6535
1.000,1545.0536,-99.6547
1.000,1545.0537,-99.6589
1.000,1545.0538,-99.6590
1.000,1545.0539,-99.6584
1.000,1545.0540,-99.6551
1.000,1545.0541,-99.6537
1.000,1545.0542,-99.6535
1.000,1545.0543,-99.6543
1.000,1545.0544,-99.6554
1.000,1545.0545,-99.6539
1.000,1545.0546,-99.6516
1.000,1545.0547,-99.6507
1.000,1545.0548,-99.6524
1.000,1545.0549,-99.6541
1.000,1545.0550,-99.6529
1.000,1545.0551,-99.6524
1.000,1545.0552,-99.6571
1.000,1545.0553,-99.6576
1.000,1545.0554,-99.6566
1.000,1545.0555,-99.6564
1.000,1545.0556,-99.6544
1.000,1545.0557,-99.6550
1.000,1545.0558,-99.6586
1.000,1545.0559,-99.6578
1.000,1545.0560,-99.6562
1.000,1545.0561,-99.6556
1.000,1545.0562,-99.6541
1.000,1545.0563,-99.6557
1.000,1545.0564,-99.6560
1.000,1545.0565,-99.6537
1.000,1545.0566,-99.6544
1.000,1545.0567,-99.6560
1.000,1545.0568,-99.6571
1.000,1545.0569,-99.6580
1.000,1545.0570,-99.6571
1.000,1545.0571,-99.6560
1.000,1545.0572,-99.6535
1.000,1545.0573,-99.6547
1.000,1545.0574,-99.6557
1.000,1545.0575,-99.6564
1.000,1545.0576,-99.6565
1.000,1545.0577,-99.6554
1.000,1545.0578,-99.6559
1.000,1545.0579,-99.6572
1.000,1545.0580,-99.6588
1.000,1545.0581,-99.6575
1.000,1545.0582,-99.6565
1.000,1545.0583,-99.6582
1.000,1545.0584,-99.6576
1.000,1545.0585,-99.6574
1.000,1545.0586,-99.6568
1.000,1545.0587,-99.6552
1.000,1545.0588,-99.6562
1.000,1545.0589,-99.6560
1.000,1545.0590,-99.6563
1.000,1545.0591,-99.6529
1.000,1545.0592,-99.6524
1.000,1545.0593,-99.6529
1.000,1545.0594,-99.6553
1.000,1545.0595,-99.6565
1.000,1545.0596,-99.6558
1.000,1545.0597,-99.6553
1.000,1545.0598,-99.6535
1.000,1545.0599,-99.6479
1.000,1545.0600,-99.6494
1.000,1545.0601,-99.6544
1.000,1545.0602,-99.6531
1.000,1545.0603,-99.6501
1.000,1545.0604,-99.6502
1.000,1545.0605,-99.6546
1.000,1545.0606,-99.6564
1.000,1545.0607,-99.6526
1.000,1545.0608,-99.6514
1.000,1545.0609,-99.6505
1.000,1545.0610,-99.6528
1.000,1545.0611,-99.6584
1.000,1545.0612,-99.6575
1.000,1545.0613,-99.6527
1.000,1545.0614,-99.6500
1.000,1545.0615,-99.6513
1.000,1545.0616,-99.6536
1.000,1545.0617,-99.6540
1.000,1545.0618,-99.6554
1.000,1545.0619,-99.6548
1.000,1545.0620,-99.6542
1.000,1545.0621,-99.6546
1.000,1545.0622,-99.6544
1.000,1545.0623,-99.6537
1.000,1545.0624,-99.6522
1.000,1545.0625,-99.6507
1.000,1545.0626,-99.6473
1.000,1545.0627,-99.6488
1.000,1545.0628,-99.6486
1.000,1545.0629,-99.6487
1.000,1545.0630,-99.6493
1.000,1545.0631,-99.6477
1.000,1545.0632,-99.6485
1.000,1545.0633,-99.6503
1.000,1545.0634,-99.6532
1.000,1545.0635,-99.6540
1.000,1545.0636,-99.6531
1.000,1545.0637,-99.6551
1.000,1545.0638,-99.6548
1.000,1545.0639,-99.6538
1.000,1545.0640,-99.6551
1.000,1545.0641,-99.6514
1.000,1545.0642,-99.6506
1.000,1545.0643,-99.6504
1.000,1545.0644,-99.6510
1.000,1545.0645,-99.6527
1.000,1545.0646,-99.6535
1.000,1545.0647,-99.6531
1.000,1545.0648,-99.6529
1.000,1545.0649,-99.6546
1.000,1545.0650,-99.6542
1.000,1545.0651,-99.6543
1.000,1545.0652,-99.6527
1.000,1545.0653,-99.6525
1.000,1545.0654,-99.6522
1.000,1545.0655,-99.6506
1.000,1545.0656,-99.6510
1.000,1545.0657,-99.6523
1.000,1545.0658,-99.6526
1.000,1545.0659,-99.6507
1.000,1545.0660,-99.6542
1.000,1545.0661,-99.6559
1.000,1545.0662,-99.6505
1.000,1545.0663,-99.6463
1.000,1545.0664,-99.6475
1.000,1545.0665,-99.6524
1.000,1545.0666,-99.6551
1.000,1545.0667,-99.6519
1.000,1545.0668,-99.6481
1.000,1545.0669,-99.6461
1.000,1545.0670,-99.6504
1.000,1545.0671,-99.6520
1.000,1545.0672,-99.6491
1.000,1545.0673,-99.6490
1.000,1545.0674,-99.6508
1.000,1545.0675,-99.6514
1.000,1545.0676,-99.6518
1.000,1545.0677,-99.6487
1.000,1545.0678,-99.6483
1.000,1545.0679,-99.6500
1.000,1545.0680,-99.6513
1.000,1545.0681,-99.6533
1.000,1545.0682,-99.6547
1.000,1545.0683,-99.6555
1.000,1545.0684,-99.6529
1.000,1545.0685,-99.6536
1.000,1545.0686,-99.6531
1.000,1545.0687,-99.6549
1.000,1545.0688,-99.6545
1.000,1545.0689,-99.6582
1.000,1545.0690,-99.6579
1.000,1545.0691,-99.6567
1.000,1545.0692,-99.6558
1.000,1545.0693,-99.6596
1.000,1545.0694,-99.6603
1.000,1545.0695,-99.6572
1.000,1545.0696,-99.6550
1.000,1545.0697,-99.6538
1.000,1545.0698,-99.6540
1.000,1545.0699,-99.6561
1.000,1545.0700,-99.6550
1.000,1545.0701,-99.6510
1.000,1545.0702,-99.6534
1.000,1545.0703,-99.6593
1.000,1545.0704,-99.6572
1.000,1545.0705,-99.6547
1.000,1545.0706,-99.6547
1.000,1545.0707,-99.6565
1.000,1545.0708,-99.6545
1.000,1545.0709,-99.6532
1.000,1545.0710,-99.6534
1.000,1545.0711,-99.6540
1.000,1545.0712,-99.6568
1.000,1545.0713,-99.6570
1.000,1545.0714,-99.6529
1.000,1545.0715,-99.6513
1.000,1545.0716,-99.6510
1.000,1545.0717,-99.6538
1.000,1545.0718,-99.6565
1.000,1545.0719,-99.6584
1.000,1545.0720,-99.6534
1.000,1545.0721,-99.6523
1.000,1545.0722,-99.6536
1.000,1545.0723,-99.6557
1.000,1545.0724,-99.6564
1.000,1545.0725,-99.6589
1.000,1545.0726,-99.6604
1.000,1545.0727,-99.6589
1.000,1545.0728,-99.6559
1.000,1545.0729,-99.6515
1.000,1545.0730,-99.6515
1.000,1545.0731,-99.6520
1.000,1545.0732,-99.6563
1.000,1545.0733,-99.6572
1.000,1545.0734,-99.6563
1.000,1545.0735,-99.6537
1.000,1545.0736,-99.6513
1.000,1545.0737,-99.6506
1.000,1545.0738,-99.6525
1.000,1545.0739,-99.6508
1.000,1545.0740,-99.6538
1.000,1545.0741,-99.6542
1.000,1545.0742,-99.6537
1.000,1545.0743,-99.6521
1.000,1545.0744,-99.6535
1.000,1545.0745,-99.6569
1.000,1545.0746,-99.6567
1.000,1545.0747,-99.6563
1.000,1545.0748,-99.6573
1.000,1545.0749,-99.6569
1.000,1545.0750,-99.6575
1.000,1545.0751,-99.6584
1.000,1545.0752,-99.6602
1.000,1545.0753,-99.6571
1.000,1545.0754,-99.6532
1.000,1545.0755,-99.6538
1.000,1545.0756,-99.6576
1.000,1545.0757,-99.6593
1.000,1545.0758,-99.6578
1.000,1545.0759,-99.6574
1.000,1545.0760,-99.6567
1.000,1545.0761,-99.6583
1.000,1545.0762,-99.6589
1.000,1545.0763,-99.6570
1.000,1545.0764,-99.6552
1.000,1545.0765,-99.6542
1.000,1545.0766,-99.6555
1.000,1545.0767,-99.6581
1.000,1545.0768,-99.6576
1.000,1545.0769,-99.6529
1.000,1545.0770,-99.6516
1.000,1545.0771,-99.6566
1.000,1545.0772,-99.6601
1.000,1545.0773,-99.6575
1.000,1545.0774,-99.6548
1.000,1545.0775,-99.6554
1.000,1545.0776,-99.6557
1.000,1545.0777,-99.6566
1.000,1545.0778,-99.6549
1.000,1545.0779,-99.6524
1.000,1545.0780,-99.6512
1.000,1545.0781,-99.6564
1.000,1545.0782,-99.6553
1.000,1545.0783,-99.6569
1.000,1545.0784,-99.6574
1.000,1545.0785,-99.6540
1.000,1545.0786,-99.6563
1.000,1545.0787,-99.6590
1.000,1545.0788,-99.6569
1.000,1545.0789,-99.6556
1.000,1545.0790,-99.6559
1.000,1545.0791,-99.6570
1.000,1545.0792,-99.6562
1.000,1545.0793,-99.6539
1.000,1545.0794,-99.6552
1.000,1545.0795,-99.6572
1.000,1545.0796,-99.6582
1.000,1545.0797,-99.6566
1.000,1545.0798,-99.6550
1.000,1545.0799,-99.6543
1.000,1545.0800,-99.6572
1.000,1545.0801,-99.6568
1.000,1545.0802,-99.6585
1.000,1545.0803,-99.6594
1.000,1545.0804,-99.6595
1.000,1545.0805,-99.6563
1.000,1545.0806,-99.6570
1.000,1545.0807,-99.6575
1.000,1545.0808,-99.6598
1.000,1545.0809,-99.6586
1.000,1545.0810,-99.6578
1.000,1545.0811,-99.6570
1.000,1545.0812,-99.6571
1.000,1545.0813,-99.6591
1.000,1545.0814,-99.6591
1.000,1545.0815,-99.6587
1.000,1545.0816,-99.6563
1.000,1545.0817,-99.6547
1.000,1545.0818,-99.6592
1.000,1545.0819,-99.6618
1.000,1545.0820,-99.6593
1.000,1545.0821,-99.6580
1.000,1545.0822,-99.6573
1.000,1545.0823,-99.6584
1.000,1545.0824,-99.6605
1.000,1545.0825,-99.6586
1.000,1545.0826,-99.6584
1.000,1545.0827,-99.6584
1.000,1545.0828,-99.6573
1.000,1545.0829,-99.6574
1.000,1545.0830,-99.6557
1.000,1545.0831,-99.6534
1.000,1545.0832,-99.6535
1.000,1545.0833,-99.6543
1.000,1545.0834,-99.6556
1.000,1545.0835,-99.6570
1.000,1545.0836,-99.6552
1.000,1545.0837,-99.6541
1.000,1545.0838,-99.6531
1.000,1545.0839,-99.6566
1.000,1545.0840,-99.6591
1.000,1545.0841,-99.6612
1.000,1545.0842,-99.6584
1.000,1545.0843,-99.6579
1.000,1545.0844,-99.6589
1.000,1545.0845,-99.6604
1.000,1545.0846,-99.6628
1.000,1545.0847,-99.6603
1.000,1545.0848,-99.6588
1.000,1545.0849,-99.6610
1.000,1545.0850,-99.6600
1.000,1545.0851,-99.6606
1.000,1545.0852,-99.6631
1.000,1545.0853,-99.6641
1.000,1545.0854,-99.6638
1.000,1545.0855,-99.6620
1.000,1545.0856,-99.6613
1.000,1545.0857,-99.6589
1.000,1545.0858,-99.6582
1.000,1545.0859,-99.6594
1.000,1545.0860,-99.6574
1.000,1545.0861,-99.6609
1.000,1545.0862,-99.6624
1.000,1545.0863,-99.6600
1.000,1545.0864,-99.6588
1.000,1545.0865,-99.6590
1.000,1545.0866,-99.6628
1.000,1545.0867,-99.6629
1.000,1545.0868,-99.6611
1.000,1545.0869,-99.6605
